RA,DEC
169.5598,57.2038
178.3991,58.12544
182.062,58.10808
141.8464,47.86314
143.448,48.64906
138.0723,47.58055
131.0633,43.30842
138.6682,47.69322
138.6644,47.69142
136.4785,47.18297
134.7648,38.64397
143.5602,43.7615
119.4991,28.31094
127.2282,34.64903
127.4604,34.76389
134.6899,39.51014
135.5292,40.11228
136.6733,41.81425
136.6668,41.80983
136.6722,41.81142
180.8252,51.40128
183.266,51.64753
183.264,51.64706
180.8911,51.80589
195.92,51.49506
159.8322,49.64
165.5157,50.82883
173.4713,51.82911
154.2694,48.48722
169.4075,51.77242
151.9056,48.3978
151.9066,48.39344
151.8273,48.37864
151.6905,48.62739
139.4997,40.00667
149.7796,44.79586
139.7201,41.11022
139.7148,41.10733
139.7182,41.10742
145.9026,43.92153
149.9726,45.27286
126.1724,31.10186
120.0006,27.15003
118.7496,25.07444
132.0403,35.25895
132.0409,35.25986
123.1773,29.60444
133.2843,37.22217
133.5419,35.54347
141.0,39.51258
185.9256,49.15486
213.3711,45.323
221.543,42.77497
230.3523,38.79358
233.6494,37.14525
144.0917,41.46933
174.3471,49.01792
174.861,48.95592
201.0469,48.29183
218.1763,44.455
218.18,44.45494
137.3622,38.69067
154.4713,45.53364
170.3417,48.98539
197.9292,49.26125
204.5713,48.2767
160.3631,47.71383
164.4687,48.51864
174.867,49.81183
130.9361,35.83311
185.0575,50.64892
190.3051,50.60617
218.9312,45.38066
221.8509,44.52922
226.6386,42.64117
153.3468,46.66669
141.6713,4.790222
144.45,5.038333
144.4497,5.037361
144.5495,4.899694
133.9824,4.832111
151.1822,6.431389
158.4733,6.867917
164.1641,7.122361
126.5293,4.455806
146.3856,6.389111
151.5077,7.19125
152.1456,7.156
166.4465,58.45681
167.0679,59.05517
182.7585,59.11825
182.6904,60.26958
205.4314,58.75
198.7016,60.09036
150.6157,5.253389
176.1478,6.430222
162.5468,6.377167
155.4918,6.371778
160.9695,6.757028
123.2849,3.820694
135.4341,5.210722
144.8018,6.160056
162.9311,7.293056
165.1295,7.27125
167.0021,7.442584
153.8858,7.081666
161.9781,7.646167
175.6375,8.13825
183.0535,8.812667
149.0245,7.31675
149.0213,7.317555
187.0381,9.174861
139.2375,6.795472
154.5822,8.349667
155.5653,8.376361
171.035,9.345722
150.6524,8.3805
155.3301,8.899445
155.7645,8.88425
176.5588,10.00333
177.2026,9.995861
177.205,9.994805
142.7998,8.019472
145.7818,8.312222
185.7414,10.54917
173.2243,10.67014
177.5807,10.834
194.4883,53.52464
196.3246,53.24242
190.9395,54.89153
196.8643,54.44692
209.276,52.59356
191.2632,55.26908
199.2175,54.62311
181.137,55.80411
192.2283,53.79278
192.1885,55.03875
241.4274,37.17717
204.2687,53.21314
243.7259,37.18714
246.9939,34.54245
233.696,44.48986
216.8103,49.52639
213.9165,50.7142
224.017,47.39278
234.626,42.20555
202.0183,53.70755
232.3364,43.92303
238.79,39.98806
239.0698,39.86078
209.158,53.23692
238.7188,41.26769
221.7543,50.12206
206.4445,57.35322
208.5638,58.69067
217.1824,55.34697
230.5094,50.17442
230.2808,50.67205
220.2085,55.46381
259.0449,21.91467
249.2782,32.90022
249.2788,32.89889
229.0916,47.476
240.4356,42.45972
222.9295,52.68939
246.273,39.76356
250.8157,35.16114
213.1422,57.17844
252.3087,34.42033
225.6913,53.51217
247.3954,39.98178
247.609,39.82933
247.6086,39.83033
218.3782,56.61175
240.725,43.32483
244.4635,40.14344
251.7625,33.69861
251.965,33.53006
257.0128,27.53222
257.2212,27.49906
259.1712,24.60811
239.4052,45.52178
244.5067,41.3237
244.0463,42.39953
330.4698,-1.171917
335.5054,-0.7310278
335.9929,-0.8226944
336.8357,-0.6791667
331.6462,0.05644444
331.6458,0.05769444
335.7996,0.07147222
335.8004,0.07055555
336.3166,0.6188333
147.5983,40.09267
119.0875,23.67764
146.6,40.26214
135.1122,35.31172
138.6115,37.16542
146.7077,41.05839
154.1687,43.67197
154.1466,43.75134
138.8447,6.929056
138.4882,7.331361
114.4044,19.67203
147.0891,7.023445
147.479,7.022417
148.2928,7.873806
153.4856,8.439944
153.4862,8.439111
186.6232,9.019222
186.6196,9.021944
165.3429,9.30725
165.0796,10.04742
165.072,10.04689
179.543,10.68556
165.2392,10.50547
181.796,11.14247
142.8116,8.577389
145.8565,9.008667
146.7227,9.086611
160.5516,10.63192
160.5528,10.63464
151.5611,10.65175
152.3888,10.68308
148.954,11.04653
160.7059,12.4725
160.706,12.47433
163.0327,12.54689
137.3329,33.12131
113.3474,16.92881
125.6743,26.72225
140.9914,35.48136
144.8672,37.15636
120.9106,23.86492
125.132,26.78058
141.587,36.99014
114.1393,17.53572
113.222,16.7435
147.5437,37.49675
147.4172,38.3382
125.9779,28.10317
125.9793,28.1085
146.9512,9.428111
137.5035,8.376333
140.4994,8.915472
146.4314,9.817111
148.4804,10.41136
129.508,7.893
133.4881,8.794861
146.6635,11.20478
