RA,DEC,nvotes,elliptical,edge_on_disk,dont_know,merger,face_on_spiral,type
202.3803,2.451056,33,0.120999999344,0.0610000006855,0.0,0.818000018597,0.0,merger
144.434,2.760806,25,0.0,0.0,0.119999997318,0.879999995232,0.0,merger
144.4305,2.756917,24,0.082999996841,0.0419999994338,0.0419999994338,0.833000004292,0.0,merger
167.8058,3.324,58,0.0520000010729,0.0170000009239,0.0340000018477,0.879000008106,0.0170000009239,merger
172.461,3.316167,61,0.261999994516,0.0489999987185,0.01600000076,0.67199999094,0.0,merger
212.7654,3.054222,30,0.0670000016689,0.0670000016689,0.20000000298,0.666999995708,0.0,merger
227.216,3.06975,38,0.0790000036359,0.0,0.0529999993742,0.867999970913,0.0,merger
228.347,2.94125,62,0.225999996066,0.0,0.0649999976158,0.709999978542,0.0,merger
227.7236,4.207445,25,0.0399999991059,0.0,0.0,0.759999990463,0.20000000298,merger
233.2303,3.769972,33,0.0909999981523,0.0299999993294,0.0,0.879000008106,0.0,merger
318.8798,-7.459667,27,0.148000001907,0.0,0.0740000009537,0.777999997139,0.0,merger
309.8848,-5.807278,31,0.225999996066,0.0,0.0320000015199,0.741999983788,0.0,merger
315.8328,-6.761861,24,0.0,0.0419999994338,0.0,0.666999995708,0.291999999434,merger
324.9721,-7.747889,31,0.0649999976158,0.0320000015199,0.097000002861,0.676999986172,0.129000004381,merger
335.8389,-8.941611,25,0.119999997318,0.0,0.0399999991059,0.839999973774,0.0,merger
326.4582,-7.062278,22,0.181999996305,0.0450000017881,0.0,0.773000001907,0.0,merger
331.6849,-7.692528,46,0.0,0.108999997377,0.0869999974966,0.739000022411,0.0649999976158,merger
333.0904,-7.34175,18,0.166999995708,0.0560000017285,0.0560000017285,0.666999995708,0.0560000017285,merger
337.7792,-7.847167,24,0.125,0.0,0.082999996841,0.75,0.0419999994338,merger
354.1531,-11.04328,30,0.10000000149,0.0,0.0329999998212,0.76700001955,0.10000000149,merger
19.64483,-10.90192,63,0.206000000238,0.0,0.01600000076,0.777999997139,0.0,merger
25.90754,-10.61197,40,0.0500000007451,0.10000000149,0.0500000007451,0.800000011921,0.0,merger
26.20008,-10.46042,29,0.0340000018477,0.0689999982715,0.0340000018477,0.759000003338,0.103000000119,merger
42.82767,-9.052889,18,0.222000002861,0.0,0.111000001431,0.666999995708,0.0,merger
25.59875,-10.18953,33,0.0299999993294,0.0909999981523,0.0610000006855,0.697000026703,0.120999999344,merger
