RA,DEC
173.3027,0.03044445
173.6494,0.01575
174.3904,0.1718333
175.8455,0.01236111
176.0283,0.1806389
176.2391,0.05611111
176.6981,0.02713889
178.2668,0.1359167
178.3621,0.02147222
178.5511,0.1366389
181.3154,0.006833334
181.5273,0.08866667
181.8354,0.09
181.8358,0.09505556
182.6719,0.04705556
183.0474,0.07055555
183.0479,0.05222222
184.0511,0.07163889
184.5135,0.1047222
184.5153,0.09808333
185.1187,0.1777778
185.7444,0.03802778
186.4805,0.2002778
186.4788,0.2020278
186.9765,0.002888889
187.4952,0.02722222
188.2809,0.1311111
189.2137,0.07402778
189.847,0.1691389
190.4438,0.2061111
190.577,0.1626944
190.8385,0.01063889
190.9661,0.1524167
191.2608,0.04902778
191.384,0.1758889
191.6309,0.1793333
192.791,0.08430555
192.7489,0.03611111
193.3651,0.1086111
193.5476,0.1765833
193.7521,0.1638889
193.8156,0.09197222
194.3127,0.04641667
194.4186,0.002111111
195.3086,0.04405556
195.3913,0.04816667
195.6293,0.1259167
196.5768,0.2056667
197.3141,0.05494444
197.7725,0.1333611
198.5112,0.02891667
199.1236,0.01541667
199.1895,0.01897222
199.5805,0.1050278
199.6307,0.04391667
199.7188,0.1276111
199.8372,0.1668333
201.3079,0.03936111
202.2914,0.1713889
203.9052,0.1964444
204.034,0.02325
204.3733,0.1928056
205.0735,0.03252778
205.0735,0.02752778
205.225,0.1073889
206.2953,0.1192222
206.3036,0.1083611
206.2913,0.06527778
206.6176,0.1288056
208.1801,0.129
208.4371,0.07116666
211.5581,0.093
212.5509,0.1092222
213.675,0.1411667
213.8557,0.2004722
214.253,0.05547222
214.657,0.1593611
214.7751,0.1913333
215.0995,0.1111667
215.6347,0.02622222
215.9616,0.04330556
215.9507,0.007527778
218.165,0.1826111
218.3472,0.008888889
219.0677,0.1006944
219.404,0.1705
219.9818,0.1924444
220.0473,0.01122222
219.9922,0.004194445
220.117,0.1921389
220.2447,0.1718611
220.9966,0.1566389
221.3335,0.1146667
221.6672,0.04622222
222.2486,0.1013611
222.2987,0.1557222
222.9237,0.01647222
222.8594,0.1343889
223.4286,0.03008333
223.7521,0.1363333
224.3801,0.01191667
224.8156,0.05447222
224.8332,0.05697222
225.5295,0.1726944
225.5392,0.1170833
225.7607,0.1202778
226.4311,0.1743056
226.6707,0.07675
227.0445,0.1553333
227.4804,0.004527778
227.5181,0.03122222
228.099,0.15625
228.2708,0.1231389
228.7931,0.1068056
228.9768,0.05375
229.0747,0.08902778
229.0357,0.04305556
229.0565,0.072
229.1849,0.1799722
229.5298,0.07625
229.6512,0.02047222
230.6068,0.1041944
230.8804,0.1545278
231.5169,0.01613889
231.8887,0.01755556
232.037,0.06288889
232.2207,0.1591111
232.541,0.1594722
232.8185,0.06047222
233.0321,0.01005556
233.3832,0.1673889
233.502,0.17675
233.5088,0.1833056
233.8295,0.04136111
234.0442,0.03983333
234.5498,0.2070833
235.8236,0.03841667
236.5231,0.1413889
236.611,0.1379167
236.816,0.03077778
236.801,0.1068056
237.4611,0.1857222
237.5082,0.1270278
237.553,0.1733333
237.7935,0.1019722
237.9679,0.1358333
238.0925,0.09422223
238.203,0.01394444
238.3411,0.1548611
238.4655,0.1143333
238.7145,0.04455556
238.8364,0.01447222
238.8546,0.005888889
239.1147,0.05925
239.1503,0.08144444
239.1967,0.1605
239.276,0.06922222
239.5826,0.17475
239.5757,0.06541666
239.5787,0.04905555
240.5396,0.2083611
241.0571,0.05352778
240.9645,0.1135278
240.9809,0.05969444
241.0057,0.1314722
241.2213,0.007861111
241.3152,0.1380833
241.3295,0.131
241.3374,0.05469444
241.4293,0.04138889
241.5251,0.02466667
241.5343,0.01372222
241.5452,0.08480556
241.5529,0.007527778
241.7977,0.01488889
242.1404,0.1766389
242.0108,0.1564722
242.2262,0.1299722
242.489,0.1310278
242.6877,0.08980556
242.9065,0.03527778
243.0387,0.05922222
243.5494,0.1561944
243.5234,0.1334444
243.636,0.05958333
243.6875,0.1545556
243.8205,0.1626389
244.0262,0.08116667
244.1079,0.1651111
244.5387,0.02213889
244.586,0.1751111
244.9445,0.004472222
245.0319,0.13875
245.3855,0.01033333
245.6122,0.04833333
245.6142,0.1584444
245.9851,0.006722222
246.1535,0.1535
246.0916,0.03022222
246.2275,0.1504722
246.3655,0.1321111
246.7017,0.1985278
247.1386,0.06136111
247.3175,0.1010278
247.5068,0.2057222
247.5797,0.185
247.8445,0.008611111
248.0931,0.02591667
248.1157,0.06372222
248.1473,0.1171944
248.9726,0.08902778
249.7543,0.1389722
249.7504,0.1399444
164.9694,0.5710555
165.2404,0.59575
165.4767,0.6189167
165.9299,0.4838611
166.0233,0.6268333
166.2377,0.4996111
166.2144,0.4218611
167.9151,0.43625
167.9325,0.5848889
168.252,0.46775
168.8029,0.5900834
169.1149,0.5568889
170.0195,0.48575
171.994,0.4943056
172.2672,0.615
172.2834,0.6104444
173.4234,0.52725
174.2658,0.4714445
174.299,0.4663333
175.6238,0.4444722
175.7007,0.5193334
176.7442,0.5037778
177.19,0.4448889
177.694,0.5284445
177.7852,0.5203889
178.5254,0.5460833
178.656,0.5909445
178.5807,0.4726111
179.0312,0.5491111
179.0763,0.4758333
179.4631,0.4983889
179.6461,0.5917778
179.5887,0.6183611
179.8043,0.5156667
179.7316,0.5850833
179.9675,0.6181945
180.1482,0.5405
180.6132,0.4969167
181.5061,0.5835278
181.6865,0.5292778
182.4359,0.6285278
182.9385,0.444
182.998,0.5902778
183.0994,0.5885278
183.0832,0.5116111
184.4717,0.48675
184.7152,0.5706389
185.3345,0.4344445
185.4946,0.5618055
185.5399,0.5404167
188.9713,0.5763056
189.3565,0.5756667
189.5984,0.62825
189.7077,0.6191389
189.9557,0.5754167
190.2535,0.5636111
190.4823,0.4460278
190.5334,0.5501944
193.5771,0.4964722
193.9943,0.4571667
194.1431,0.5971667
195.2472,0.6151111
195.3662,0.5469722
195.9532,0.5706111
198.0644,0.4958056
198.1938,0.521
198.3385,0.4826389
198.3965,0.4655555
199.1378,0.5178889
199.0515,0.5581389
200.3015,0.5153056
200.8396,0.5820833
201.0818,0.5360278
201.188,0.5295833
201.4356,0.54
201.4435,0.5415
202.0362,0.4421944
202.6633,0.6060833
204.2256,0.5706389
204.3807,0.5913333
204.7889,0.5913056
204.922,0.5557778
205.4884,0.5983056
208.2977,0.462
208.9379,0.5744445
209.5707,0.6238611
211.0164,0.4611945
211.4506,0.4581111
214.4363,0.5706667
214.4365,0.4795
214.5945,0.6223611
215.8479,0.5045
216.3968,0.596
218.1084,0.536
219.9168,0.4975
220.4755,0.6000278
220.548,0.5793333
222.1584,0.4222222
222.4323,0.6216944
223.5385,0.46625
223.5652,0.55775
224.2091,0.5384445
224.5617,0.4488611
224.6603,0.4808055
225.2675,0.4531944
225.4161,0.5854167
226.9188,0.4983333
227.4549,0.5298333
227.8698,0.4717222
228.5378,0.5240278
229.0424,0.4613889
229.4093,0.5531389
229.3987,0.42825
229.4908,0.4726945
229.5208,0.4329444
231.1163,0.5616944
231.6482,0.5431389
231.654,0.5440556
231.9195,0.4456944
231.8332,0.4829445
231.836,0.4770555
232.8821,0.4550556
233.2205,0.4689167
233.2596,0.4199444
233.2728,0.4898055
233.2861,0.4296389
233.3035,0.4441667
233.7046,0.5959445
233.7733,0.5433334
234.5354,0.4204722
234.8529,0.6264722
236.9737,0.5794167
237.0972,0.5367222
237.857,0.5771389
238.0235,0.5101666
238.6724,0.5476111
239.0556,0.575
239.109,0.5557222
239.1432,0.4847222
239.2216,0.4280556
239.2576,0.5831111
239.3986,0.6233611
239.8111,0.4544722
240.1367,0.4985833
240.2299,0.5873333
240.2545,0.4881667
240.5679,0.5617222
241.3997,0.6012778
241.4152,0.6228611
242.0447,0.5915833
242.2426,0.5704722
242.2817,0.4583056
242.5456,0.6014722
243.0204,0.5573889
243.0458,0.4959167
243.4743,0.4609167
243.51,0.5160277
243.5881,0.4463889
243.6093,0.4525
243.7885,0.4309722
243.8678,0.524
243.8833,0.5232778
244.0435,0.4689722
244.5869,0.4343611
244.5891,0.4472222
244.8701,0.5135
245.3675,0.60325
245.3873,0.6078889
245.5281,0.5497778
245.853,0.5798333
245.9619,0.48675
245.9671,0.4537222
246.0737,0.5125833
246.239,0.4203889
246.3234,0.50075
246.845,0.4805
246.8503,0.5880278
246.8762,0.5850278
246.9328,0.5675278
247.4739,0.5550833
247.8855,0.4794444
247.9166,0.4334167
247.916,0.5423611
248.0224,0.4565833
248.0171,0.4551111
248.2939,0.5336389
248.4633,0.4999167
248.7797,0.4195833
165.6335,1.001472
166.5696,0.8650833
166.9667,0.8807778
167.0182,0.8983611
167.8012,0.8713611
167.8315,0.9096389
168.2789,0.9701945
168.7999,1.036
168.9473,0.952
170.4295,0.9606389
170.5782,1.020306
171.4337,0.9067778
172.3421,0.9929722
173.0189,1.042278
173.1929,0.9852778
173.239,0.8546389
174.9853,0.9875
175.7135,0.8678055
175.7957,0.9711111
175.8481,0.9531111
176.6717,0.9474444
177.3114,0.9281945
177.4172,0.8486111
177.7469,0.9854444
