RA,DEC
253.0165,63.11819
255.727,60.00442
256.0561,59.73928
256.4998,59.08825
257.7524,56.93542
259.911,53.24197
258.3132,57.67722
258.3117,57.67619
258.5048,57.27058
258.61,57.25983
260.9038,54.54097
261.2322,53.71931
255.371,63.69467
255.3701,63.68586
257.5433,61.35008
260.2178,57.091
261.2345,55.11753
261.1273,56.91128
134.9624,55.69894
195.2547,65.91
196.1273,65.94156
213.5934,63.42203
213.9678,63.49717
217.4603,62.49928
116.5431,40.28689
125.1713,49.36345
128.5167,52.00214
158.0105,64.17492
169.2728,66.07114
183.491,66.69036
185.9031,66.84453
193.7618,66.57758
112.2593,34.03578
137.3042,57.40406
117.669,42.4243
118.7747,43.48725
128.8903,52.78905
154.7808,63.96989
177.9228,67.09361
181.4569,67.25208
181.455,67.24458
181.6857,67.16309
181.6947,67.16128
181.7984,67.23517
189.2427,67.11539
198.4735,66.71506
111.8144,35.05258
111.8304,35.37897
112.2073,35.54869
114.5906,39.13144
123.3626,49.01747
128.0108,52.78714
188.574,67.65242
195.7487,67.25214
111.3811,35.22522
112.2413,36.87992
112.2435,36.87819
115.479,41.30853
120.3048,46.86772
121.3252,48.02108
127.4541,53.01556
153.3703,64.55756
175.519,67.73019
198.9155,67.38853
212.1674,65.53361
118.7148,45.82042
118.7142,45.82392
134.3471,58.27028
137.5613,59.95414
169.7741,67.6585
181.9653,68.45155
215.3831,65.34939
258.9736,61.35814
259.1216,61.17353
257.8223,64.34233
261.8121,60.01175
262.2483,59.14328
263.5063,56.53711
261.7459,64.33652
259.1974,61.75472
261.8042,58.65789
258.9313,64.74386
261.8202,60.01406
264.2507,55.00681
264.2371,56.72292
264.2398,56.72506
265.0829,55.24564
265.5541,56.14292
265.4648,55.62542
259.933,66.22689
112.7363,35.445
113.243,36.13353
111.9462,34.77092
112.603,36.11317
114.9439,39.16286
117.7007,42.84744
118.891,44.35311
121.3341,46.7165
122.7091,48.29233
123.0252,48.34919
123.6672,49.06172
112.4856,36.41903
115.6701,40.92739
118.006,44.01667
120.1574,46.20317
123.2737,49.25314
123.1798,49.46255
119.198,45.88783
110.7023,34.74972
145.1657,60.62228
145.9236,60.85806
146.3548,60.85761
179.4926,66.36292
180.5377,66.39911
218.3229,62.51033
224.8234,60.48842
230.9653,58.05294
141.8153,59.86031
142.4422,59.85236
158.0078,64.42453
171.1733,66.35516
188.998,66.82919
229.7383,58.97433
240.2741,53.31847
240.3275,53.2795
243.2964,51.05344
146.5209,61.92328
154.6913,64.32242
158.1452,65.04108
158.1378,65.04158
181.4642,67.25886
189.1061,67.2997
215.6587,64.08567
218.4497,63.56764
221.7946,62.58472
243.7186,51.37667
137.6544,59.04764
152.009,63.99014
198.8227,67.17631
204.5548,66.54389
205.5818,66.4363
212.2806,65.40456
218.1501,63.93117
242.8805,52.68522
141.856,61.4613
154.5143,65.23761
165.7666,66.99178
212.7706,65.80686
222.4189,63.29856
227.6737,61.55786
242.6335,53.40958
244.4546,52.20225
149.7722,64.4707
155.2232,65.68575
161.0633,66.86264
191.9518,68.51
192.4559,68.44292
197.5502,68.08847
198.8464,68.03353
210.6665,66.57478
210.801,66.57914
134.9518,55.70625
126.1724,50.6075
128.0517,51.98317
124.5567,49.25089
247.2051,46.77222
249.4563,45.28614
252.3484,41.96336
253.8555,40.05589
253.7641,39.9917
247.0855,48.21458
251.2648,43.92314
251.492,43.54172
251.974,43.08603
252.9947,41.79678
256.1347,37.96483
247.1926,48.77089
247.2396,48.73703
249.3648,46.83486
253.5679,42.65469
254.2387,42.19792
255.037,41.02756
256.5004,39.045
256.8928,38.23714
182.833,1.492278
189.8064,1.443
202.1165,1.451667
204.6018,1.479778
204.6015,1.478667
204.602,1.4825
214.3126,1.229361
215.533,1.169917
217.3889,1.104444
221.9549,1.051583
180.676,1.976806
180.6726,1.980111
180.6806,1.983361
183.7166,1.910778
197.9922,1.956972
198.8384,1.928667
205.563,1.800778
214.1402,1.671278
214.2427,1.639361
214.2452,1.639917
214.2992,1.745278
215.863,1.726306
227.4185,1.386222
228.3704,1.209694
228.5267,1.279167
182.1151,2.3295
186.7437,2.494361
192.978,2.414944
199.5008,2.359694
208.0684,2.108639
208.0688,2.108056
225.0017,1.891333
224.9962,1.889917
227.0234,1.651611
234.7148,1.49575
235.4675,1.427361
235.4704,1.417694
235.514,1.424833
182.0463,2.878278
182.0606,2.889472
187.2589,2.723194
194.5931,2.792667
194.5995,2.786444
204.2834,2.663417
207.8871,2.545361
228.4564,2.074222
233.3464,1.977028
186.1666,3.303195
187.7876,3.132139
188.6673,3.323195
198.0306,3.199056
204.3038,3.161806
218.1881,2.915028
229.011,2.438195
188.4134,3.606333
188.918,3.674389
189.7448,3.653389
204.5872,3.453944
216.9978,3.175639
171.6742,1.241472
174.1318,1.377917
174.9354,1.334667
178.776,1.327528
181.8711,1.382528
185.3503,1.291139
189.8318,1.431972
191.5748,1.407444
201.7329,1.239583
209.5683,1.156361
215.5633,1.102778
139.9953,0.9608333
155.4872,1.530056
172.241,1.807444
178.1775,1.739611
178.1845,1.741361
186.2589,1.734139
192.6645,1.833333
209.2684,1.473972
217.6447,1.4275
226.4627,1.074639
227.7132,1.195528
128.9731,0.7071111
129.6034,1.081167
129.7068,1.121
130.0494,1.098611
141.6093,1.590194
146.515,1.668361
147.6112,1.5825
166.942,2.058944
171.3888,2.052222
172.7758,2.190305
177.9012,2.2185
188.6158,2.186583
189.9683,2.126222
203.5697,2.135917
203.6245,2.117194
205.5711,1.944667
208.2305,2.013833
208.3382,2.052917
209.4288,1.882833
213.3043,1.782778
215.8568,1.730028
215.8637,1.732361
221.1019,1.679778
226.782,1.54425
226.9485,1.584056
227.0324,1.488833
228.3437,1.459972
138.0306,1.912056
164.0087,2.511333
169.6233,2.476083
171.6548,2.557055
181.8947,2.704361
186.5332,2.563195
186.747,2.501972
186.7423,2.499917
188.5429,2.656417
198.4662,2.545833
203.3157,2.532111
203.5687,2.418306
207.6945,2.306972
213.7672,2.28525
220.238,2.18025
220.2442,2.185555
223.7625,2.14125
226.8855,1.91575
228.1648,1.932056
228.2712,1.893361
228.4744,1.904528
228.5128,1.959306
129.4855,2.021111
129.9417,1.884944
130.245,2.042528
155.2858,2.682917
161.0744,2.801417
169.0708,2.889917
169.3792,3.032305
177.2583,2.956445
180.7389,3.028111
191.8672,3.03875
199.9336,2.844917
203.9534,2.993806
217.5413,2.531389
227.0286,2.431444
227.5963,2.318028
145.9902,2.852056
149.1008,2.867278
169.3449,3.344861
171.4496,3.417667
171.7544,3.303278
180.2596,3.488278
192.2983,3.388722
192.2954,3.385972
192.3018,3.388389
219.5755,3.410333
219.573,3.408361
223.2619,3.296028
223.2565,3.294945
223.2599,3.29275
228.3104,2.811361
228.3176,2.831
236.2525,2.470444
236.5682,2.415417
215.0182,3.99275
215.0878,3.930694
215.0774,3.935
215.1337,3.983222
215.4749,3.966556
218.2522,3.790611
218.2862,3.948222
218.2905,3.946667
223.1024,3.718611
223.4269,3.5825
224.6435,3.519833
230.3135,3.285167
231.089,3.173583
240.2645,2.479361
215.5533,4.3925
230.4131,3.621056
231.1044,3.637
213.8008,4.821278
213.8025,4.827167
228.6957,4.066
231.0573,3.955083
212.0579,5.500028
216.5364,5.235556
220.2879,5.079611
318.2686,-7.741694
322.2065,-8.324333
324.0992,-8.443139
324.0723,-8.502639
339.3107,-9.875361
339.3111,-9.874888
346.1704,-10.35728
349.2371,-10.50178
309.91,-6.281833
316.2107,-7.1085
318.4997,-7.3655
324.4415,-8.152722
339.2758,-9.593833
345.2347,-9.907666
323.7905,-7.702972
325.372,-7.810667
326.6941,-7.893667
344.113,-9.511472
344.1106,-9.533305
346.3443,-9.527833
311.4157,-5.59
315.5148,-6.296861
319.1502,-6.581555
319.2954,-6.648111
322.7409,-7.084139
325.208,-7.484028
325.5479,-7.475139
325.5485,-7.47625
329.6733,-7.820667
329.7644,-7.843222
311.335,-5.249805
320.4708,-6.509361
326.4259,-7.060222
342.3809,-8.490055
347.1567,-8.887777
347.1564,-8.887278
324.4266,-6.4245
340.5212,-7.921278
341.5472,-7.999444
345.066,-8.178778
346.092,-8.263473
346.1054,-8.348
346.7981,-8.443639
357.8445,-11.12911
0.4104167,-11.21175
1.006375,-11.17428
5.104208,-11.23339
13.73658,-11.05164
21.90533,-10.69206
27.24388,-10.33261
31.14508,-10.1085
40.59804,-9.362278
45.21654,-8.868584
49.42958,-8.3865
54.1645,-7.775611
54.19242,-7.839889
56.42279,-7.511445
57.36079,-7.310472
57.35758,-7.3095
61.12304,-6.845305
352.5535,-10.41583
10.81413,-10.66269
20.75562,-10.44458
23.54,-10.30508
24.7845,-10.08292
27.29313,-10.06125
32.15767,-9.702556
40.78271,-8.773889
41.39446,-8.816972
42.21854,-8.730222
355.1066,-10.08736
0.5145,-10.31169
8.935875,-10.34975
9.315708,-10.32308
10.12479,-10.30406
14.51608,-10.23761
15.09621,-10.12789
20.14329,-9.880222
24.67217,-9.725722
28.32354,-9.465555
40.09988,-8.433556
40.11837,-8.436055
42.31787,-8.341056
55.54267,-6.765361
23.07008,-9.498639
25.43138,-9.182445
51.32438,-6.864611
56.53433,-6.259083
57.73288,-6.008667
11.9515,-9.37875
29.45075,-8.595667
37.47,-7.926667
38.59021,-7.873361
41.49963,-7.578472
43.04612,-7.350722
45.30833,-7.223306
22.83421,-8.62075
28.20508,-8.265972
28.48958,-8.290916
49.26133,-6.205778
52.56329,-5.728889
57.26696,-5.230834
57.27087,-5.217722
59.12258,-4.973722
308.9331,-6.760917
309.1071,-6.7985
312.8326,-7.316083
312.8029,-7.396167
315.2747,-7.623528
316.3363,-7.845833
317.709,-8.011806
322.0271,-8.602389
323.2329,-8.654583
323.9492,-8.733889
324.1428,-8.854777
309.0309,-6.367167
322.1241,-8.205055
324.5997,-8.313666
324.7756,-8.379444
328.4026,-8.695611
309.6447,-6.141472
321.4184,-7.53475
325.7252,-8.102944
316.3046,-6.54
317.7162,-6.691278
321.2419,-7.244945
311.1494,-5.396555
321.8016,-6.787806
326.1776,-7.213056
311.4214,-4.950083
315.4978,-5.669445
316.396,-5.672333
317.1127,-5.820028
317.112,-5.817
321.7634,-6.368083
324.6745,-6.667361
325.5335,-6.774833
325.8825,-6.752666
318.9924,9.542694
331.6592,11.63364
335.5642,12.22314
344.2881,13.18833
349.1873,13.48264
358.9383,13.99061
359.0389,13.88572
359.9576,14.08811
1.682208,14.00736
319.4937,10.11556
323.0527,10.80742
330.5837,11.85897
