,RA,DEC
527,244.765,-0.28
528,245.109,-0.321
529,245.207,-0.369
530,245.24,-0.293
531,245.514,-0.338
532,245.832,-0.391
533,246.029,-0.252
534,246.221,-0.406
535,246.422,-0.394
536,247.031,-0.295
537,247.409,-0.273
538,247.643,-0.213
539,247.577,-0.352
540,248.295,-0.213
541,248.298,-0.211
542,249.053,-0.354
543,249.167,-0.214
544,249.319,-0.232
545,249.586,-0.408
546,249.703,-0.351
547,165.471,0.197
548,165.777,0.194
549,166.91,0.06
550,167.402,0.127
551,168.845,0.106
552,168.854,0.121
553,170.881,0.122
554,171.954,0.111
555,172.369,0.114
556,173.611,0.102
557,173.904,0.128
558,173.898,0.125
559,173.904,0.131
560,174.026,0.199
561,175.855,0.014
562,178.018,0.081
563,179.547,0.086
564,181.502,0.192
565,183.061,0.072
566,183.113,0.165
567,186.128,0.07
568,186.808,0.026
569,187.136,0.18
570,188.189,0.114
571,188.144,0.112
572,188.26,0.005
573,189.512,0.177
574,190.616,0.048
575,190.67,0.113
576,190.687,0.194
577,192.996,0.078
578,193.803,0.117
579,196.506,0.024
580,198.903,0.015
581,202.993,0.184
582,205.05,0.006
583,205.485,0.065
584,208.186,0.13
585,208.437,0.056
586,211.157,0.109
587,214.732,0.094
588,217.59,0.121
589,218.091,0.178
590,218.719,0.176
591,219.428,0.076
592,219.973,0.105
593,219.928,0.056
594,220.064,0.207
595,220.516,0.076
596,221.077,0.044
597,222.516,0.098
598,222.869,0.081
599,223.396,0.01
600,224.503,0.199
601,224.81,0.157
602,225.525,0.115
603,227.59,0.084
604,228.484,0.201
605,228.545,0.058
606,228.992,0.161
607,229.064,0.07
608,229.143,0.111
609,229.549,0.201
610,229.586,0.185
611,230.714,0.031
612,230.81,0.066
613,231.682,0.058
614,231.871,0.169
615,232.04,0.18
616,232.542,0.058
617,232.994,0.187
618,232.993,0.189
619,233.113,0.094
620,234.257,0.199
621,234.632,0.183
622,234.949,0.153
623,235.41,0.144
624,238.664,0.037
625,239.034,0.204
626,239.058,0.024
627,239.142,0.052
628,239.083,0.025
629,239.3,0.168
630,239.573,0.152
631,239.579,0.114
632,239.653,0.009
633,239.831,0.106
634,239.843,0.118
635,239.757,0.11
636,240.121,0.155
637,240.293,0.045
638,240.268,0.171
639,240.438,0.015
640,240.678,0.209
641,240.721,0.013
642,240.75,0.017
643,240.853,0.092
644,240.869,0.036
645,240.829,0.024
646,240.834,0.098
647,240.883,0.023
648,240.922,0.153
649,241.017,0.119
650,241.019,0.119
651,240.978,0.136
652,241.048,0.122
653,241.065,0.097
654,241.069,0.044
655,241.323,0.193
656,241.357,0.2
657,241.445,0.134
658,241.647,0.001
659,241.671,0.015
660,241.665,0.02
661,241.818,0.026
662,241.738,0.028
663,241.752,0.034
664,241.796,0.186
665,241.873,0.152
666,241.925,0.207
667,242.019,0.12
668,242.094,0.009
669,242.194,0.207
670,242.226,0.011
671,242.656,0.142
672,242.658,0.179
673,242.922,0.061
674,243.077,0.19
675,243.082,0.058
676,243.118,0.203
677,243.277,0.049
678,243.299,0.075
679,243.455,0.007
680,243.415,0.039
681,243.805,0.145
682,243.832,0.166
683,243.8,0.184
684,243.84,0.121
685,243.907,0.002
686,244.102,0.003
687,244.157,0.101
688,244.306,0.018
689,244.668,0.002
690,244.632,0.173
691,244.548,0.009
692,245.12,0.174
693,245.189,0.15
694,245.312,0.142
695,245.434,0.182
696,245.484,0.071
697,246.06,0.005
698,246.433,0.199
699,246.555,0.038
700,246.822,0.132
701,246.815,0.014
702,247.339,0.094
703,247.45,0.002
704,247.641,0.061
705,248.02,0.135
706,248.164,0.042
707,248.55,0.106
708,248.854,0.207
709,248.992,0.027
710,249.306,0.035
711,249.949,0.152
712,249.941,0.139
713,165.294,0.459
714,165.558,0.559
715,165.821,0.453
716,166.373,0.534
717,166.954,0.602
718,169.533,0.545
719,172.421,0.492
720,174.572,0.613
721,178.613,0.497
722,178.799,0.49
723,180.382,0.625
724,180.332,0.503
725,182.569,0.627
726,182.71,0.596
727,184.415,0.497
728,185.274,0.553
729,185.279,0.461
730,185.792,0.427
731,186.052,0.567
732,186.428,0.573
733,187.196,0.572
734,188.528,0.481
735,191.12,0.468
736,191.405,0.425
737,195.419,0.477
738,196.153,0.589
739,197.558,0.536
740,197.803,0.555
741,197.882,0.618
742,198.064,0.599
743,198.055,0.599
744,198.023,0.539
745,198.899,0.492
746,199.976,0.512
747,200.044,0.441
748,201.226,0.495
749,201.888,0.426
750,203.784,0.477
751,204.512,0.485
752,204.634,0.54
753,205.841,0.629
754,206.921,0.549
755,207.644,0.514
756,208.61,0.427
757,212.08,0.623
758,213.065,0.523
759,214.989,0.554
760,215.304,0.428
761,215.606,0.447
762,216.392,0.425
763,217.158,0.553
764,217.156,0.553
765,217.161,0.555
766,219.902,0.542
767,221.234,0.546
768,221.767,0.479
769,225.265,0.46
770,226.247,0.475
771,228.548,0.539
772,228.802,0.485
773,228.692,0.485
774,229.003,0.423
775,229.25,0.427
776,229.596,0.558
777,229.738,0.516
778,230.407,0.471
779,232.741,0.478
780,233.27,0.556
781,233.239,0.484
782,233.239,0.499
783,233.264,0.52
784,235.578,0.477
785,235.581,0.474
786,235.631,0.587
787,238.182,0.605
789,238.708,0.605
790,238.915,0.524
791,238.972,0.57
792,238.982,0.528
793,238.934,0.546
794,238.977,0.592
795,239.108,0.473
796,239.114,0.519
797,239.441,0.504
798,239.762,0.558
799,239.999,0.494
800,240.173,0.555
801,240.109,0.476
802,240.338,0.456
803,240.407,0.473
804,240.431,0.489
805,240.671,0.596
806,240.741,0.527
807,240.736,0.515
808,241.519,0.513
809,241.448,0.61
810,241.607,0.564
811,241.708,0.481
812,241.716,0.424
813,241.863,0.607
814,241.873,0.522
815,242.155,0.537
816,242.215,0.51
817,242.274,0.572
818,242.327,0.595
819,242.733,0.443
820,242.844,0.576
821,242.765,0.622
822,243.015,0.581
823,243.209,0.48
824,243.209,0.428
825,243.453,0.531
826,243.481,0.607
827,243.607,0.42
828,243.815,0.487
829,243.945,0.442
830,244.015,0.531
831,244.28,0.45
832,244.247,0.481
833,244.33,0.595
834,244.393,0.534
835,244.45,0.425
836,244.481,0.583
837,244.667,0.577
838,244.683,0.601
839,244.733,0.506
840,244.863,0.507
841,244.837,0.586
842,245.177,0.516
843,245.183,0.527
844,245.412,0.598
845,245.591,0.598
846,245.597,0.468
847,245.659,0.556
848,245.674,0.523
849,245.667,0.557
850,245.86,0.556
851,245.808,0.561
852,245.93,0.448
853,246.252,0.441
854,246.244,0.421
855,246.791,0.461
856,247.259,0.503
857,247.574,0.424
858,247.888,0.524
859,247.974,0.474
860,248.82,0.509
861,248.901,0.448
862,249.176,0.434
863,249.811,0.427
864,169.242,0.988
865,169.542,0.934
866,170.995,0.929
867,171.285,0.989
868,172.288,0.948
869,173.496,0.958
870,174.355,0.936
871,175.069,0.979
872,175.98,1.036
873,179.981,0.885
874,181.067,0.891
875,185.639,1.02
876,186.564,0.884
877,186.58,1.02
878,187.009,0.972
879,187.386,0.84
880,187.726,0.964
881,187.846,0.947
882,189.76,0.85
883,191.092,1.02
884,194.251,1.029
885,197.111,1.038
886,198.148,1.012
887,198.265,0.98
888,198.293,0.97
889,199.242,1.027
890,200.399,0.961
891,201.954,0.99
892,204.949,0.897
893,208.287,0.876
894,211.659,1.048
895,211.714,0.85
896,212.547,0.866
897,213.005,0.932
898,215.827,1.016
899,215.827,1.015
900,218.433,0.987
901,220.577,0.84
902,223.296,0.973
903,224.471,0.934
904,226.064,0.885
905,227.549,0.858
906,7.355,13.897
907,13.697,13.659
908,15.756,13.578
909,16.073,13.498
910,16.235,13.557
911,17.24,13.446
912,17.624,13.461
913,18.339,13.401
914,22.207,13.218
915,23.722,13.169
916,23.698,12.979
917,24.452,13.032
918,25.277,13.028
919,25.278,13.025
920,26.616,12.893
921,26.92,12.773
922,27.175,12.831
923,27.543,12.723
924,28.249,12.708
925,28.256,12.711
926,29.27,12.493
927,29.352,12.462
928,29.943,12.458
929,31.745,12.194
930,33.51,12.063
931,33.656,12.075
932,33.666,12.145
933,33.546,12.027
934,7.732,14.146
935,8.509,14.148
936,10.427,14.3
937,13.221,14.071
938,13.222,14.071
939,13.754,14.199
940,14.678,14.121
941,15.507,14.109
942,15.835,14.031
943,15.826,14.038
944,15.828,14.038
945,15.825,14.039
946,15.837,14.036
947,16.791,13.954
948,17.142,14.025
949,17.247,13.911
950,17.495,13.982
951,18.928,13.851
952,19.893,13.781
953,20.397,13.746
954,20.662,13.712
955,20.681,13.818
956,21.804,13.602
957,22.524,13.599
958,23.392,13.53
959,24.589,13.411
960,24.99,13.43
961,24.984,13.429
963,25.445,13.401
964,25.456,13.422
965,29.081,13.009
966,29.423,12.893
967,32.909,12.598
968,7.405,14.707
969,7.401,14.692
970,9.562,14.588
971,9.622,14.546
972,10.603,14.701
973,10.75,14.661
974,10.929,14.658
975,12.3,14.646
976,13.129,14.524
977,14.662,14.575
978,15.549,14.536
979,17.339,14.34
980,17.426,14.285
981,17.373,14.355
982,18.322,14.338
983,18.462,14.255
984,18.461,14.257
985,18.464,14.255
986,18.462,14.256
987,19.437,14.151
988,21.772,14.092
989,22.455,14.005
990,25.125,13.868
991,25.203,13.774
992,25.23,13.784
993,25.76,13.65
994,25.98,13.806
995,26.325,13.716
996,26.512,13.591
997,27.143,13.701
998,27.129,13.693
999,28.747,13.468
1000,32.976,12.99
1001,10.955,14.932
1002,12.782,14.891
1003,14.457,14.926
