RA,DEC
339.203,14.699
354.326,15.938
358.666,16.082
0.616,16.081
1.001,16.022
1.446,16.144
358.813,-10.975
358.713,-10.891
5.064,-10.992
15.847,-10.853
15.85,-10.855
358.556,-10.386
358.556,-10.39
358.558,-10.39
358.823,-9.67
21.354,-9.325
358.393,-9.606
358.749,-9.248
8.095,-9.269
21.816,-8.942
1.387,-8.854
10.617,-8.742
24.579,-9.537
27.135,-9.457
26.966,-8.615
23.197,-8.424
27.219,-8.146
315.879,10.01
34.266,-8.754
119.884,37.887
128.917,46.491
128.917,46.494
128.921,46.494
116.361,35.157
116.365,35.216
113.501,32.216
355.137,-10.47
354.95,-9.918
352.255,-8.945
357.795,-9.224
30.106,-7.941
125.784,1.885
125.785,1.887
127.146,1.878
137.714,1.202
129.007,0.954
128.606,1.257
129.711,1.405
129.71,1.403
131.387,1.301
148.785,1.897
151.107,2.016
151.108,2.016
128.637,1.673
131.913,1.898
142.217,2.206
150.542,2.732
156.931,1.191
157.302,1.346
159.829,1.248
169.042,1.51
169.043,1.511
177.444,1.632
159.136,1.693
167.579,1.94
177.948,2.01
154.256,2.014
171.536,2.228
171.536,2.227
158.767,2.653
166.884,2.744
166.885,2.746
166.886,2.744
168.317,2.633
168.317,2.631
171.242,2.666
173.888,2.765
166.756,3.108
167.521,3.477
126.825,46.034
116.416,34.235
123.047,41.154
119.521,38.529
123.692,42.358
121.093,40.649
122.396,41.977
114.532,34.092
177.097,63.539
195.654,63.449
188.221,64.147
173.712,64.708
191.025,65.49
155.462,3.289
125.958,1.934
142.861,3.001
150.7,3.416
122.876,2.102
122.875,2.101
140.207,3.273
140.207,3.272
146.197,3.583
163.24,4.342
127.012,2.741
147.403,4.116
147.717,4.025
150.256,4.177
153.724,4.354
151.246,4.588
157.157,4.98
165.423,5.74
123.653,38.564
119.37,35.185
119.85,35.484
121.4,37.251
122.503,38.089
111.85,27.756
111.852,27.756
216.188,62.356
216.188,62.357
224.845,59.85
137.67,48.455
121.303,36.828
139.048,49.653
140.638,50.435
148.59,53.651
112.272,26.917
149.2,54.389
112.628,28.273
122.659,39.438
122.83,39.51
123.915,40.34
139.219,50.804
125.446,42.234
125.452,42.233
147.548,55.291
153.77,-1.051
158.993,-0.373
163.27,0.143
149.912,0.587
149.916,0.587
151.948,0.567
154.169,0.468
161.263,0.541
161.293,0.464
144.323,-2.79
145.651,-2.836
148.994,-3.028
148.944,-2.526
148.941,-2.528
140.041,-1.932
143.633,-1.991
153.577,-2.218
144.792,-1.205
144.79,-1.204
145.166,-1.249
146.251,-1.31
146.248,-1.309
149.203,-1.363
149.202,-1.362
149.626,-1.304
149.625,-1.303
167.925,63.487
171.207,64.651
171.209,64.65
191.125,65.221
166.806,65.098
190.705,66.089
192.181,3.994
193.159,3.929
198.304,3.879
198.298,3.917
201.036,3.888
227.536,2.834
197.962,4.408
205.967,4.165
209.226,3.934
191.835,4.807
198.912,4.772
208.82,4.457
221.147,3.991
223.868,3.819
225.94,3.733
226.587,3.701
226.622,3.698
232.722,3.237
235.064,3.143
239.943,2.689
240.179,2.655
218.113,4.496
221.18,4.429
223.903,4.206
229.85,3.792
211.902,5.17
212.508,5.088
212.589,5.27
228.282,4.34
228.803,4.375
189.82,6.088
198.348,5.986
238.992,53.729
238.991,53.728
222.54,61.934
226.626,60.595
241.207,53.439
245.418,50.274
227.569,61.218
245.231,51.118
249.478,45.696
248.348,47.317
253.231,42.145
247.447,49.082
256.274,39.038
194.577,58.446
203.696,57.4
203.697,57.4
176.231,58.478
127.13,41.578
131.196,44.742
153.366,55.093
165.246,57.785
171.122,58.523
172.139,58.563
172.131,58.564
139.258,50.046
139.255,50.046
163.878,57.905
164.273,58.076
197.945,59.058
127.88,43.389
146.816,53.824
146.824,53.822
179.232,60.039
184.837,60.121
193.439,59.886
129.9,45.492
146.998,54.496
148.541,54.945
169.227,59.531
174.19,60.155
178.319,60.408
131.583,47.153
133.07,48.066
139.066,51.467
184.335,60.883
187.503,60.869
241.26,48.914
242.098,48.346
243.741,46.73
235.691,53.319
249.559,41.939
249.554,41.94
257.455,32.299
261.453,25.893
261.453,25.892
255.165,35.507
242.528,49.249
243.091,48.645
248.091,44.487
259.529,29.996
259.529,29.995
261.286,27.089
232.575,55.614
240.019,51.797
240.019,51.798
240.12,51.642
256.375,35.273
256.818,34.824
256.752,34.752
244.974,42.438
245.461,42.639
247.119,41.22
255.81,31.455
256.825,29.864
249.079,40.423
254.792,34.144
254.955,33.994
249.397,40.879
249.588,40.817
250.861,39.511
255.63,33.86
229.387,1.151
236.297,0.813
232.58,1.721
257.889,28.716
250.469,38.826
256.568,31.389
247.646,42.363
255.669,33.52
258.913,29.074
246.488,43.962
204.185,-3.498
204.183,-3.501
205.115,-3.115
205.116,-3.116
203.207,-2.71
208.891,-2.666
212.55,-2.557
206.651,-1.719
209.1,-1.785
205.662,-1.465
207.484,-1.342
206.833,-3.164
218.504,-3.063
219.366,-3.092
226.813,-2.745
203.933,-2.887
222.335,-2.463
203.839,-2.395
219.46,-2.152
219.7,-1.81
233.158,-1.398
235.878,-1.171
206.242,-1.496
212.498,-1.54
223.461,-1.127
205.125,-1.205
210.676,-1.2
213.802,-1.129
257.839,32.02
257.467,34.269
221.383,-2.743
223.483,-2.796
231.79,-2.503
233.298,-2.311
233.648,-2.357
229.647,-1.629
231.251,-1.579
233.151,-1.489
215.3,-1.646
233.094,-1.081
234.097,-1.177
222.881,-0.996
222.711,5.12
222.715,5.12
228.537,4.714
229.761,4.499
233.113,4.324
211.944,6.387
219.852,5.951
228.06,5.218
233.097,4.626
234.0,4.607
211.784,6.84
211.967,6.797
228.359,5.662
229.336,5.828
222.851,6.801
222.852,6.798
222.849,6.801
321.449,9.865
341.467,12.598
341.447,13.039
348.209,13.656
352.655,13.886
0.088,14.182
330.818,12.157
333.978,12.615
348.715,14.136
351.054,14.355
351.051,14.354
0.265,14.58
0.265,14.579
3.95,14.677
318.529,10.606
338.513,13.558
341.507,13.813
346.127,14.28
353.868,14.824
359.268,15.106
359.953,15.023
321.498,11.438
339.889,14.1
346.871,14.834
328.127,13.078
345.209,15.11
352.271,15.66
1.475,15.895
336.964,-10.092
331.989,-9.151
333.573,-9.192
333.575,-9.193
334.108,-9.285
335.407,-9.559
337.107,-9.625
344.548,-10.094
332.464,-8.787
332.463,-8.788
333.89,-8.829
333.891,-8.829
335.514,-9.049
335.704,-9.04
330.209,-8.175
253.977,73.834
254.101,73.681
256.212,72.131
256.205,72.131
256.219,72.133
265.877,55.577
260.6,68.697
260.606,68.7
260.603,68.696
261.882,66.408
267.753,51.555
267.751,51.555
268.227,52.002
268.759,50.35
254.755,76.443
265.352,64.269
266.471,60.823
267.025,59.873
267.426,58.456
269.127,51.117
262.939,70.626
264.402,68.098
265.452,65.824
265.45,65.825
267.817,60.182
268.088,59.614
268.091,59.613
268.45,57.38
261.708,74.027
265.509,68.043
265.51,68.042
265.97,67.01
265.971,67.011
316.756,-1.239
325.9,-1.059
325.899,-1.061
317.801,-0.641
313.846,-0.218
317.275,-0.347
322.252,0.184
321.458,0.94
325.829,0.995
316.706,-0.858
317.883,-0.952
318.199,-1.045
318.518,-0.011
318.517,-0.012
328.27,-1.016
334.168,-0.967
334.168,-0.968
335.254,-0.968
5.432,-0.854
5.433,-0.854
6.782,-0.842
6.782,-0.839
326.957,-0.534
329.947,-0.446
329.945,-0.447
4.621,-0.539
9.919,-0.56
14.843,-0.528
348.31,-0.091
351.258,-0.0
351.251,-0.002
355.503,-0.189
356.193,-0.089
7.229,-0.073
322.529,0.405
324.35,0.346
347.476,0.365
3.212,0.289
5.536,0.367
7.845,0.364
334.796,0.745
359.995,0.702
0.706,0.752
7.979,0.828
13.978,0.658
340.611,1.195
350.602,1.089
5.757,1.183
164.956,54.744
157.645,53.529
157.643,53.53
146.602,50.417
148.832,51.333
155.092,53.259
159.144,54.297
153.939,53.401
157.037,54.316
163.22,55.643
162.342,55.889
150.448,53.353
16.331,-1.012
33.112,-0.847
41.503,-0.873
48.202,-1.005
50.189,-1.045
55.207,-0.933
29.567,-0.522
33.066,-0.463
39.761,-0.531
54.864,-0.477
56.356,-0.562
15.844,-0.206
18.485,-0.192
18.488,-0.193
18.92,-0.141
21.551,-0.025
21.55,-0.024
29.138,-0.175
35.759,-0.144
37.984,-0.008
43.801,-0.184
43.799,-0.185
43.796,-0.179
27.047,0.337
32.952,0.278
37.782,0.314
41.359,0.244
41.36,0.243
59.232,0.235
36.333,0.839
39.413,0.65
35.417,1.163
38.992,1.258
42.294,1.183
53.552,1.174
131.316,39.23
132.691,40.179
132.74,40.192
133.788,40.763
116.849,27.534
119.067,29.698
130.087,38.924
138.978,44.331
138.986,44.327
117.339,28.573
119.071,30.306
121.663,32.778
133.616,41.919
117.362,29.443
117.867,29.73
120.742,32.495
127.588,36.774
130.22,38.646
137.826,43.461
139.287,44.815
139.289,44.815
145.78,47.846
134.009,42.27
136.504,43.939
139.664,45.506
120.606,32.836
122.584,34.502
130.543,40.755
139.194,45.813
139.194,45.815
141.132,46.846
142.615,47.321
151.277,48.825
181.256,54.067
181.254,54.068
183.543,54.522
187.652,54.449
147.899,48.66
155.525,51.08
158.913,52.333
163.938,53.492
163.937,53.492
166.581,53.922
175.741,54.957
175.743,54.956
185.166,55.386
157.0,52.493
158.42,52.797
170.555,54.957
179.97,55.714
185.793,55.826
158.221,53.115
170.041,55.23
170.557,55.3
113.155,25.168
116.124,28.789
125.254,37.712
126.466,40.283
124.489,36.732
114.525,27.131
118.603,31.794
116.854,30.399
118.112,32.531
120.073,34.455
122.734,36.828
122.736,36.828
124.702,38.626
